Study_Hours,Sleep_Hours,Social_Media_Hours,Exercise_Hours,Attention_Level,Marks
3.9,5.2,4.9,0.5,6.0,64.5
6.1,7.9,0.5,1.0,10.0,95.6
2.0,8.1,0.6,1.5,9.0,72.8
5.0,6.6,2.7,0.0,5.0,67.0
7.1,9.1,2.4,0.5,9.0,96.8
1.3,6.8,3.1,0.0,9.0,66.1
4.9,7.2,2.9,0.0,10.0,74.1
5.0,6.7,2.2,1.0,9.0,93.9
6.1,7.0,4.6,1.0,9.0,94.8
2.0,5.4,0.4,0.0,8.0,64.1
1.9,4.8,1.6,0.0,8.0,66.7
5.5,9.4,2.3,0.0,10.0,89.6
5.1,5.7,0.0,1.5,5.0,87.2
5.0,5.5,2.2,2.0,7.0,88.1
5.2,3.8,5.0,0.0,5.0,64.2
3.1,6.0,2.7,0.0,8.0,72.5
5.0,5.0,2.8,1.5,9.0,85.3
5.1,9.5,0.6,1.5,8.0,88.1
3.1,8.5,1.8,0.5,3.0,55.8
8.2,6.0,1.6,0.0,7.0,100.0
5.4,10.0,2.0,0.0,10.0,94.6
2.1,8.5,4.7,0.5,9.0,60.4
5.8,6.5,3.3,0.5,8.0,79.2
2.6,3.3,1.1,0.0,6.0,62.0
6.1,10.0,2.8,0.5,6.0,85.6
6.8,4.9,3.1,0.0,8.0,92.4
2.9,4.5,4.4,1.0,5.0,66.6
6.4,8.5,4.7,0.5,10.0,96.3
5.3,10.0,0.9,0.0,10.0,95.3
6.1,9.1,1.2,0.5,7.0,89.9
8.3,7.8,0.3,0.5,7.0,95.9
4.0,7.9,2.2,2.0,8.0,78.7
3.0,8.3,3.4,0.5,7.0,71.7
2.7,8.1,4.2,0.0,10.0,69.6
2.9,7.4,2.6,1.0,8.0,73.0
4.3,7.2,2.1,0.0,6.0,71.1
5.2,6.9,2.7,1.5,10.0,85.0
5.1,5.9,1.2,0.5,8.0,84.2
6.2,6.6,5.5,0.5,8.0,86.5
4.5,4.5,0.1,0.0,6.0,73.6
7.4,6.9,2.5,0.5,8.0,95.5
4.0,5.5,5.6,1.5,7.0,66.4
9.9,5.3,2.0,1.5,3.0,100.0
5.8,7.3,2.1,0.0,10.0,90.2
2.8,9.1,2.2,0.0,10.0,80.8
2.4,8.4,2.5,1.5,7.0,73.8
5.5,4.6,4.5,1.5,4.0,73.8
4.1,5.5,0.0,0.0,8.0,74.6
5.9,8.4,4.7,0.5,8.0,73.9
5.4,5.5,0.3,0.5,8.0,80.6
4.4,6.7,2.2,1.5,8.0,74.2
2.8,7.8,2.1,0.0,9.0,78.0
1.5,5.5,3.7,0.0,10.0,64.0
3.6,7.2,0.2,1.0,9.0,82.7
6.2,5.0,3.1,0.0,5.0,68.9
4.9,6.1,5.5,0.5,9.0,73.7
2.0,7.5,0.8,0.5,10.0,76.2
4.8,4.6,2.8,0.5,10.0,87.0
5.3,7.7,1.5,0.5,6.0,79.8
2.7,7.0,3.4,0.5,8.0,69.9
4.8,7.8,2.5,0.0,4.0,78.2
4.6,7.3,1.6,0.5,9.0,82.6
2.2,9.0,3.5,1.5,7.0,63.8
5.2,7.2,5.2,1.0,10.0,86.4
5.6,6.4,2.2,0.0,6.0,92.3
6.7,7.2,3.4,0.0,4.0,69.6
6.6,7.8,0.4,0.0,7.0,94.9
1.7,7.1,1.4,0.5,4.0,53.5
2.6,7.1,3.4,0.5,9.0,71.8
5.5,5.9,4.7,1.0,3.0,67.2
5.5,6.0,3.0,0.0,7.0,80.8
5.5,4.9,2.0,0.0,3.0,76.1
12.0,9.6,1.8,0.5,8.0,100.0
5.6,5.1,0.6,1.0,10.0,98.7
6.8,6.0,3.2,0.0,8.0,86.8
6.4,5.9,3.7,1.0,5.0,80.2
5.8,8.3,1.7,0.0,8.0,85.0
3.9,6.6,1.9,1.5,8.0,69.6
6.0,8.9,2.8,1.5,9.0,90.6
3.0,6.0,2.0,0.0,5.0,66.2
4.0,7.4,2.5,0.0,9.0,71.4
3.5,5.7,5.8,0.5,1.0,56.0
4.7,10.0,2.2,0.0,7.0,79.8
9.1,5.2,1.6,1.0,6.0,100.0
0.8,7.5,1.9,1.5,9.0,61.7
5.9,8.0,3.5,1.0,8.0,95.1
1.3,7.6,2.6,1.5,5.0,58.1
3.6,6.7,1.7,0.5,6.0,70.1
6.7,6.8,4.3,0.0,8.0,87.6
4.6,7.1,4.7,1.0,7.0,75.4
2.3,6.8,1.9,0.5,7.0,61.9
3.1,8.4,0.0,1.0,8.0,65.1
5.9,10.0,3.9,0.0,10.0,99.8
3.0,6.2,1.7,0.0,6.0,66.2
4.9,4.9,3.7,2.0,7.0,82.3
4.6,6.9,0.0,0.0,10.0,87.3
3.2,10.0,4.0,2.0,5.0,61.0
8.8,5.8,0.3,2.0,4.0,100.0
5.8,9.5,3.5,1.0,10.0,83.6
0.4,9.5,3.0,1.0,7.0,63.8
4.9,6.2,1.1,0.5,7.0,75.1
3.2,7.9,2.1,1.5,6.0,63.9
6.2,9.4,3.4,0.0,8.0,84.9
2.9,6.4,2.9,0.5,10.0,80.5
4.3,6.7,3.4,1.0,9.0,80.3
5.5,6.1,5.4,0.5,8.0,74.7
6.2,5.5,0.0,0.5,5.0,92.0
2.1,6.0,5.2,0.5,4.0,54.5
3.8,5.2,2.8,0.5,1.0,59.8
3.6,7.1,1.3,1.5,6.0,76.2
3.2,5.8,0.7,0.0,10.0,90.1
8.0,7.4,1.9,1.5,9.0,100.0
5.3,4.7,3.9,1.0,6.0,74.5
2.0,7.5,2.6,1.5,8.0,74.2
6.3,8.3,4.6,0.5,6.0,83.8
8.7,4.0,0.0,1.0,8.0,100.0
6.6,7.6,2.3,0.0,9.0,85.2
1.5,8.8,1.0,1.5,5.0,57.1
3.5,5.2,3.2,0.0,8.0,67.1
7.0,9.5,3.6,1.5,10.0,100.0
3.1,7.6,2.1,2.0,7.0,77.3
5.4,5.9,0.0,0.0,9.0,79.5
6.0,6.9,2.7,0.0,10.0,91.8
2.6,7.8,3.4,1.0,7.0,70.6
4.4,7.1,3.2,0.0,8.0,75.7
0.0,7.8,4.9,1.5,6.0,49.3
2.5,5.6,1.1,0.0,8.0,70.1
4.0,7.3,3.6,0.0,8.0,75.3
2.0,4.9,4.6,2.0,7.0,60.2
7.8,6.8,0.0,1.0,6.0,92.7
1.6,5.6,3.3,1.5,7.0,54.5
3.6,5.9,1.9,0.5,10.0,83.3
4.8,8.9,2.4,1.0,9.0,84.8
7.4,8.6,2.8,0.5,10.0,100.0
1.6,7.9,2.1,1.0,7.0,58.8
6.8,5.4,1.3,1.0,9.0,96.8
4.5,6.5,2.6,0.5,8.0,84.3
2.5,8.8,1.1,0.5,7.0,65.2
5.4,7.2,0.8,0.0,9.0,82.0
4.9,10.0,3.5,1.0,6.0,79.9
3.3,7.6,0.9,0.0,7.0,69.9
4.6,7.3,3.5,1.0,8.0,79.5
3.7,6.5,3.3,0.0,8.0,80.3
4.7,7.2,0.0,1.0,6.0,80.1
5.8,6.8,1.4,1.0,10.0,96.1
7.7,8.1,4.0,0.0,9.0,91.8
2.0,8.4,1.3,0.0,7.0,61.5
8.8,5.8,1.4,0.0,4.0,98.7
0.6,5.0,3.6,1.0,6.0,42.4
4.2,4.2,3.8,1.5,6.0,73.5
5.7,7.8,2.1,0.0,8.0,86.6
5.1,5.3,1.6,1.0,7.0,82.9
3.3,3.8,4.8,0.5,2.0,58.8
4.1,7.6,5.2,0.5,6.0,69.5
3.5,10.0,4.1,1.5,8.0,80.2
3.3,7.0,2.8,0.5,9.0,69.1
6.2,8.3,1.2,0.5,7.0,89.6
5.2,7.1,1.2,0.0,10.0,89.8
3.1,6.9,3.5,0.0,4.0,53.0
6.3,8.4,3.0,0.0,10.0,98.1
5.1,6.6,4.6,0.0,7.0,87.8
6.1,7.4,3.4,1.0,9.0,90.9
5.8,7.5,0.2,0.5,8.0,93.0
2.8,6.0,4.3,0.5,9.0,69.3
3.4,8.5,1.2,0.0,8.0,70.0
6.0,6.7,1.8,0.0,5.0,71.7
5.7,5.9,2.8,1.0,10.0,88.5
4.5,7.8,5.5,2.0,7.0,68.3
4.7,5.7,7.2,0.0,7.0,78.4
7.1,7.0,3.2,1.5,10.0,100.0
3.3,7.0,2.4,0.5,6.0,65.5
5.6,8.6,3.2,0.5,9.0,91.7
4.1,7.7,3.9,0.5,6.0,64.1
4.1,7.0,2.1,0.0,7.0,70.1
6.7,8.2,5.0,0.0,8.0,88.0
6.2,9.1,2.7,1.0,5.0,87.8
6.1,7.8,3.1,0.5,6.0,85.5
7.1,7.0,3.3,1.5,10.0,100.0
4.5,5.0,3.2,0.5,9.0,81.1
5.9,5.4,3.7,0.0,7.0,84.4
3.9,6.5,1.7,1.0,8.0,78.9
5.1,6.1,1.7,0.0,7.0,75.4
4.2,6.7,0.9,0.5,10.0,85.1
4.7,7.1,3.2,1.0,7.0,72.5
5.7,7.8,3.6,1.5,8.0,87.2
2.9,6.9,3.4,1.0,10.0,71.9
8.7,7.7,4.6,1.0,6.0,100.0
2.5,7.1,2.7,1.0,10.0,72.8
2.1,4.0,3.8,1.5,3.0,45.4
6.8,5.6,0.7,0.0,10.0,99.1
6.1,6.8,1.8,0.0,7.0,89.0
5.7,5.2,3.5,0.0,6.0,87.3
5.8,7.9,3.7,0.0,4.0,71.3
4.5,9.3,2.1,1.0,7.0,70.4
2.7,8.8,2.6,1.0,6.0,68.4
4.7,6.7,0.3,0.5,7.0,74.3
3.1,9.2,2.2,0.0,8.0,68.1
6.5,7.2,3.7,1.0,9.0,91.7
4.2,6.5,3.4,0.5,8.0,75.8
2.8,6.1,3.5,1.0,8.0,72.0
3.9,6.5,2.7,0.5,5.0,64.4
5.3,6.4,2.5,0.5,6.0,77.7
3.4,7.3,1.7,0.0,10.0,77.8
2.9,7.2,3.8,0.0,6.0,62.4
5.0,7.0,3.1,1.5,10.0,88.8
5.0,7.7,3.2,1.5,7.0,82.9
3.5,8.8,1.9,1.0,8.0,79.4
3.6,8.4,0.0,0.0,10.0,83.6
5.0,4.8,4.1,0.5,9.0,84.6
1.6,3.2,2.1,1.0,6.0,50.5
1.7,8.4,1.5,1.0,7.0,62.7
3.1,4.9,3.7,0.0,7.0,67.9
4.1,6.7,2.0,0.0,8.0,80.2
5.1,5.2,4.1,1.0,9.0,80.5
7.5,4.3,3.2,0.5,7.0,90.4
6.2,7.8,3.4,0.0,9.0,86.7
4.2,8.1,0.5,0.0,10.0,87.1
4.5,6.1,4.4,0.5,8.0,81.6
2.5,3.1,3.1,1.5,7.0,63.8
4.5,6.2,2.0,2.0,4.0,77.5
3.9,7.6,2.8,0.5,2.0,60.8
5.1,4.8,0.0,0.5,8.0,86.0
2.8,7.3,3.3,0.0,7.0,63.3
5.5,7.0,0.9,0.5,7.0,88.9
7.6,7.9,0.2,0.5,9.0,100.0
4.3,7.2,0.3,1.0,8.0,93.7
5.3,5.5,4.1,0.5,9.0,79.9
5.9,8.8,1.5,0.0,9.0,93.2
3.7,6.8,4.9,0.0,6.0,62.2
4.9,7.0,1.7,0.5,10.0,83.5
4.5,5.6,0.0,0.0,7.0,79.4
4.7,6.3,0.9,0.0,9.0,85.0
3.0,5.7,4.6,2.0,6.0,79.7
4.5,6.7,2.3,0.5,6.0,73.6
5.5,9.6,1.6,0.5,9.0,83.4
7.4,4.9,2.5,1.5,7.0,97.5
6.4,4.6,3.1,2.0,8.0,82.4
8.8,9.2,3.8,0.5,7.0,100.0
3.0,6.7,4.9,1.5,3.0,56.2
6.2,6.0,1.8,0.5,7.0,92.0
4.9,8.6,0.5,0.5,10.0,94.5
8.9,6.1,1.5,0.5,7.0,100.0
2.9,9.7,3.1,1.0,8.0,69.0
2.8,8.0,1.3,1.0,10.0,73.0
3.3,6.3,1.2,0.5,6.0,63.4
0.3,10.0,3.5,0.0,5.0,45.6
3.4,6.1,2.6,1.0,7.0,64.6
3.0,8.1,2.7,0.0,7.0,64.4
4.8,7.4,1.4,0.5,6.0,72.7
5.2,9.0,2.1,1.0,8.0,87.8
8.3,9.3,0.8,1.0,10.0,100.0
6.4,7.0,3.7,1.0,7.0,80.8
3.3,5.9,4.2,1.5,8.0,62.2
2.7,7.7,0.0,0.5,10.0,76.6
5.5,6.0,1.1,1.0,7.0,85.9
1.9,10.0,0.6,1.0,9.0,71.1
8.2,7.2,1.2,0.0,7.0,97.7
6.9,6.5,2.2,0.0,6.0,87.1
3.6,7.3,0.5,0.0,7.0,75.2
1.1,5.0,1.5,0.5,6.0,60.6
7.2,5.5,0.8,1.0,8.0,89.2
4.3,8.8,2.9,1.5,10.0,82.6
7.0,6.0,2.4,0.0,6.0,89.5
1.3,5.4,1.8,0.0,6.0,50.5
3.3,7.8,2.9,2.0,8.0,83.1
4.5,8.8,1.7,0.0,9.0,78.8
4.6,8.1,2.1,0.5,9.0,82.7
3.6,8.5,5.2,0.5,10.0,77.6
5.7,5.9,4.4,0.5,2.0,65.6
2.4,4.9,0.8,0.0,3.0,46.5
4.2,9.3,3.8,0.0,7.0,69.9
4.7,6.5,3.7,0.0,9.0,85.3
5.5,6.6,0.7,0.5,5.0,78.8
5.9,9.0,3.6,0.5,2.0,66.8
2.3,7.8,5.1,0.0,8.0,65.8
1.4,7.7,1.2,1.0,9.0,64.4
7.1,10.0,0.9,1.5,7.0,94.2
5.2,6.0,4.0,0.0,5.0,73.4
3.0,8.4,3.1,0.5,6.0,68.2
7.6,7.1,3.1,1.0,8.0,100.0
4.7,7.4,3.0,0.0,6.0,77.8
6.9,9.3,2.9,0.5,9.0,100.0
4.6,7.8,0.6,1.0,3.0,68.7
8.6,7.8,3.7,1.5,6.0,93.9
8.0,8.6,4.0,1.5,6.0,95.3
4.0,6.5,2.3,0.5,7.0,74.6
6.4,5.7,2.3,1.0,6.0,81.6
5.8,5.4,0.1,0.5,9.0,92.3
7.2,4.1,3.1,1.0,3.0,85.0
2.6,10.0,3.6,0.5,8.0,68.0
5.9,5.3,2.3,0.0,8.0,89.5
6.6,6.7,4.0,1.0,10.0,97.1
1.0,6.6,2.4,0.5,7.0,53.4
2.1,7.5,3.6,0.5,8.0,60.6
0.4,8.2,1.4,1.5,5.0,44.8
4.0,8.3,2.6,0.0,3.0,71.5
5.9,6.1,2.1,0.5,9.0,90.8
7.5,6.7,2.6,0.0,7.0,92.5
4.6,7.4,2.0,1.0,10.0,82.0
7.8,6.6,2.0,1.0,5.0,100.0
1.7,9.4,4.1,0.5,9.0,57.2
1.1,7.7,2.2,1.0,10.0,63.2
4.4,8.1,0.2,0.5,9.0,86.7
5.3,8.0,5.1,1.0,8.0,84.2
4.4,8.8,4.6,0.5,8.0,80.3
0.4,7.3,1.0,0.5,5.0,58.4
4.3,5.1,3.6,1.5,10.0,85.9
1.9,7.6,2.1,0.0,7.0,55.5
5.8,6.0,2.8,0.0,8.0,84.3
5.2,6.2,2.9,0.5,4.0,74.4
2.6,7.9,2.4,2.0,6.0,76.3
3.5,8.9,1.5,0.5,10.0,72.8
2.4,7.0,1.7,0.0,7.0,70.4
4.4,7.5,1.2,0.5,10.0,86.5
6.4,9.6,1.1,0.5,9.0,99.4
2.5,7.4,2.6,0.0,4.0,55.6
5.5,10.0,1.4,1.0,10.0,88.7
3.4,7.8,3.7,2.0,6.0,72.6
2.9,4.4,4.9,0.5,8.0,69.3
4.3,8.1,1.7,0.5,8.0,84.1
2.4,7.6,3.1,0.5,5.0,58.2
3.4,8.9,3.4,0.0,8.0,67.3
2.1,8.0,3.5,1.5,10.0,62.6
8.4,6.8,2.3,0.5,9.0,100.0
4.6,5.2,3.7,0.5,7.0,77.7
3.1,6.7,3.4,1.0,9.0,68.2
4.9,5.7,0.7,0.5,8.0,81.7
4.3,6.1,3.9,1.0,7.0,72.1
4.1,7.9,3.9,0.0,5.0,58.8
5.7,9.5,1.3,1.5,9.0,88.7
6.0,7.6,2.5,1.5,10.0,89.6
3.4,5.2,3.7,1.0,5.0,62.3
3.3,7.7,2.4,2.0,10.0,76.5
3.9,8.8,4.2,0.0,8.0,64.0
0.0,6.1,6.5,0.5,5.0,48.9
1.5,6.8,1.7,1.0,10.0,74.7
7.2,7.0,0.2,0.5,7.0,92.5
7.8,5.8,2.7,0.5,9.0,100.0
4.0,8.0,3.7,0.5,7.0,74.0
5.7,6.8,2.1,0.0,8.0,92.0
5.1,7.6,4.7,0.5,8.0,75.5
10.7,5.7,0.0,0.0,8.0,100.0
6.7,6.3,3.4,1.0,3.0,76.9
4.2,8.1,1.7,0.0,6.0,66.0
2.6,6.4,5.3,0.0,9.0,68.8
1.3,9.6,5.9,0.5,7.0,58.9
4.9,6.4,1.4,0.5,7.0,93.7
3.0,7.3,1.9,1.5,5.0,59.7
1.7,8.4,4.1,0.5,6.0,58.5
3.2,4.9,2.1,0.5,3.0,57.5
2.3,4.4,2.7,1.5,7.0,69.2
7.9,4.7,2.2,0.5,6.0,87.7
6.3,8.9,0.0,0.0,7.0,84.0
4.5,6.2,2.5,0.5,7.0,72.9
7.5,10.0,1.2,1.5,9.0,100.0
4.7,6.2,1.8,0.5,10.0,83.3
2.8,7.3,4.9,0.0,4.0,57.7
7.5,9.3,0.4,0.0,10.0,100.0
5.6,10.0,3.7,0.0,10.0,91.0
2.4,10.0,2.3,0.5,7.0,72.5
4.1,8.8,2.2,0.5,9.0,81.9
2.7,8.5,3.9,0.0,7.0,56.8
1.7,7.9,3.3,1.5,8.0,70.1
6.4,8.2,3.2,1.0,10.0,92.6
8.3,6.2,3.6,0.5,8.0,100.0
1.7,5.8,2.3,1.5,8.0,72.6
5.6,7.0,1.5,0.0,7.0,86.1
3.2,6.7,1.1,0.5,5.0,58.6
3.5,6.3,1.4,1.0,7.0,68.8
3.3,8.0,7.1,1.5,9.0,76.3
2.8,8.4,4.6,1.0,5.0,58.6
4.6,7.1,0.5,0.0,6.0,77.2
2.8,9.2,0.7,1.5,9.0,80.0
5.0,5.3,3.2,0.0,5.0,76.2
4.4,6.7,3.4,1.5,6.0,75.7
4.0,5.9,3.4,2.0,6.0,71.9
2.7,4.2,2.3,0.0,4.0,56.2
3.3,6.9,2.5,1.0,6.0,72.3
6.0,6.8,2.9,0.0,9.0,91.9
5.5,9.3,2.6,0.5,6.0,78.8
2.5,7.9,0.0,0.5,5.0,68.9
4.7,5.5,2.2,0.5,6.0,75.3
6.0,9.8,1.1,1.5,10.0,93.1
1.2,8.8,3.1,1.0,8.0,55.8
5.6,7.9,6.9,0.5,6.0,69.4
3.2,6.7,3.2,1.5,7.0,68.5
5.6,5.6,2.0,2.0,4.0,85.8
3.0,6.4,4.1,0.0,8.0,62.8
0.9,8.6,3.6,2.0,9.0,62.4
1.2,9.8,3.5,0.0,7.0,51.2
4.6,9.3,3.5,1.5,10.0,84.0
5.0,6.3,5.6,0.0,5.0,61.5
2.7,5.3,1.0,0.0,10.0,73.6
5.8,7.2,3.1,0.5,8.0,85.2
1.2,4.3,1.5,1.0,6.0,59.7
4.4,7.5,3.4,0.5,8.0,78.4
2.1,6.8,1.4,0.0,8.0,59.5
3.2,6.3,2.1,0.5,10.0,82.5
4.6,4.6,2.1,1.5,5.0,76.0
2.8,7.8,4.2,0.5,6.0,62.5
3.7,6.2,4.0,0.0,9.0,73.7
6.5,5.2,0.5,0.5,6.0,86.7
3.3,3.0,2.8,0.0,8.0,71.7
6.2,7.0,1.3,1.5,10.0,100.0
2.2,9.7,0.9,1.5,8.0,61.1
5.6,9.5,2.1,0.5,10.0,88.8
7.4,6.3,1.8,0.5,5.0,88.9
0.0,6.1,6.6,1.0,8.0,48.4
2.9,7.7,3.4,0.5,8.0,74.3
5.7,5.5,0.4,1.5,9.0,90.2
4.1,7.5,1.7,1.0,7.0,74.1
5.2,8.1,4.0,1.0,4.0,69.6
3.3,8.8,5.8,0.5,8.0,63.1
4.7,6.8,0.2,0.5,4.0,72.2
4.2,6.7,0.0,2.0,7.0,85.6
6.8,5.7,5.1,0.5,9.0,86.4
5.0,5.8,3.1,1.0,8.0,84.5
5.2,6.7,1.2,0.0,10.0,80.9
3.7,7.6,3.4,1.0,10.0,76.3
3.5,8.4,0.0,0.5,7.0,72.9
3.6,5.8,2.6,0.0,7.0,78.6
5.3,9.2,3.0,0.0,8.0,80.9
3.7,6.6,4.0,1.0,4.0,52.2
5.1,7.0,1.0,1.0,6.0,71.1
8.7,5.9,2.3,0.5,6.0,99.9
6.2,3.4,1.0,0.0,3.0,81.3
3.8,8.3,3.0,1.0,8.0,77.2
6.9,8.1,1.0,0.0,8.0,95.7
3.7,6.6,2.0,0.5,4.0,71.0
0.4,7.1,1.5,0.0,9.0,55.0
2.5,7.8,3.7,0.0,9.0,71.4
0.8,4.7,4.2,0.0,7.0,42.8
3.8,6.2,2.3,0.5,7.0,68.3
4.5,8.2,2.6,0.0,9.0,71.6
7.9,5.1,0.0,0.5,9.0,100.0
5.2,7.4,2.0,0.5,8.0,84.0
4.1,5.0,2.5,0.5,5.0,69.9
6.2,7.7,6.3,0.5,8.0,84.1
0.1,6.9,1.3,1.5,10.0,57.0
5.0,4.6,4.7,0.0,5.0,69.5
6.0,8.7,3.9,0.5,10.0,83.7
1.5,5.9,3.3,0.0,6.0,60.9
